track_id,image_used,Make,Model,Type,Color,error
617,track_00617_f006653_r1.jpg,Chevrolet,Captiva,SUV,Black,
289,track_00289_f004421_r1.jpg,Dodge,Grand Caravan,Van,White,
661,track_00661_f007391_r1.jpg,Toyota,Highlander,SUV,Gray,
649,track_00649_f006176_r1.jpg,Jeep,Grand Cherokee,SUV,Black,
666,track_00666_f007523_r1.jpg,Buick,Envision,SUV,White,
343,track_00343_f004292_r1.jpg,Mazda,CX-8,SUV,Black,
1,track_00001_f000002_r1.jpg,Honda,Civic,Sedan,White,
327,track_00327_f003863_r1.jpg,Kia,Rio,Sedan,White,
689,track_00689_f006616_r1.jpg,Cadillac,XT4,SUV,Silver,
13,track_00013_f000464_r1.jpg,Toyota,RAV4,SUV,Gray,
367,track_00367_f004607_r1.jpg,Hyundai,Accent,Sedan,Silver,
390,track_00390_f004895_r1.jpg,Buick,LaCrosse,Sedan,Black,
362,track_00362_f004289_r1.jpg,Mercedes-Benz,ML,SUV,Black,
39,track_00039_f001412_r1.jpg,Chevrolet,Express,Van,White,
69,track_00069_f001484_r1.jpg,Honda,CR-V,SUV,Gray,
53,track_00053_f001307_r1.jpg,Honda,Odyssey,Van,Blue,
89,track_00089_f001667_r1.jpg,Honda,Accord,Sedan,Silver,
371,track_00371_f004607_r1.jpg,Ford,Fusion,Sedan,Blue,
905,track_00905_f009032_r1.jpg,Nissan,Sentra,sedan,blue,
884,track_00884_f008459_r1.jpg,Volkswagen,Tiguan,SUV,Silver,
54,track_00054_f001355_r1.jpg,Mazda,3,Sedan,Gray,
141,track_00141_f001741_r1.jpg,Nissan,X-Trail,SUV,Silver,
79,track_00079_f001436_r1.jpg,Cadillac,XTS,Sedan,Gray,
912,track_00912_f009191_r1.jpg,Honda,Accord,Sedan,Silver,
750,track_00750_f007427_r1.jpg,Maserati,Levante,SUV,Maroon,
786,track_00786_f007682_r1.jpg,Honda,Accord,Sedan,Gray,
217,track_00217_f002053_r1.jpg,Hyundai,Sonata,sedan,gray,
481,track_00481_f005102_r1.jpg,Ford,Focus,Sedan,Black,
830,track_00830_f007817_r1.jpg,Toyota,Sienna,Van,Black,
174,track_00174_f001694_r1.jpg,Toyota,RAV4,SUV,Black,
778,track_00778_f007607_r1.jpg,Mazda,Mazda6,Sedan,Blue,
820,track_00820_f007832_r1.jpg,Maserati,GranTurismo,Coupe,White,
764,track_00764_f007575_r1.jpg,Chevrolet,Malibu,Sedan,Blue,
872,track_00872_f008090_r1.jpg,Chevrolet,Equinox,SUV,Gray,
130,track_00130_f001637_r1.jpg,Kia,Ceed,Sedan,White,
357,track_00357_f003986_r1.jpg,Honda,Accord,Sedan,Black,
916,track_00916_f009269_r1.jpg,Lexus,ES,Sedan,Black,
686,track_00686_f006491_r1.jpg,Subaru,XV,SUV,Gray,
467,track_00467_f004985_r1.jpg,Nissan,Altima,Sedan,Gray,
578,track_00578_f005525_r1.jpg,Lexus,NX,SUV,Silver,
590,track_00590_f005567_r1.jpg,Volvo,XC90,SUV,White,
192,track_00192_f001787_r1.jpg,Mitsubishi,Outlander,SUV,Red,
239,track_00239_f002255_r1.jpg,Buick,Encore,SUV,White,
654,track_00654_f006179_r1.jpg,Mazda,Mazda3,Sedan,Silver,
269,track_00269_f002747_r1.jpg,BMW,3 Series,sedan,black,
630,track_00630_f005765_r1.jpg,Honda,Civic,Sedan,Gray,
250,track_00250_f002478_r1.jpg,Honda,Fit,Hatchback,Black,
208,track_00208_f001913_r1.jpg,Chevrolet,Cobalt,Sedan,Red,
886,track_00886_f008456_r1.jpg,Honda,Accord,Sedan,Red,
310,track_00310_f003152_r1.jpg,Honda,Civic,Sedan,Gray,
275,track_00275_f002834_r1.jpg,Ram,1500,Truck,Gray,
151,track_00151_f001619_r1.jpg,Ford,Edge,SUV,Purple,
508,track_00508_f005162_r1.jpg,Toyota,RAV4,SUV,Silver,
524,track_00524_f005300_r1.jpg,Chevrolet,Malibu,Sedan,Blue,
67,track_00067_f001250_r1.jpg,Chevrolet,Express,Van,White,
527,track_00527_f005353_r1.jpg,Hyundai,Sonata,Sedan,Brown,
888,track_00888_f008486_r1.jpg,Toyota,Camry,Sedan,Gray,
410,track_00410_f004637_r1.jpg,Toyota,Camry,Sedan,White,
871,track_00871_f008072_r1.jpg,Audi,Q5,SUV,White,
135,track_00135_f001553_r1.jpg,Toyota,Corolla,Sedan,Black,
380,track_00380_f004476_r1.jpg,Buick,LaCrosse,sedan,gray,
754,track_00754_f007431_r1.jpg,Chevrolet,Malibu,Sedan,Blue,
704,track_00704_f006545_r1.jpg,Toyota,Prius,Sedan,Black,
737,track_00737_f007293_r1.jpg,Unknown,Unknown,Sedan,Unknown,
769,track_00769_f007496_r1.jpg,Unknown,Unknown,Sedan,Green,
801,track_00801_f007609_r1.jpg,Ford,Bronco,SUV,Gray,
46,track_00046_f001149_r1.jpg,Chevrolet,Express,Van,White,
849,track_00849_f007892_r1.jpg,Jeep,Wrangler,SUV,Black,
710,track_00710_f006934_r1.jpg,Unknown,Unknown,SUV,Black,
900,track_00900_f008833_r1.jpg,Unknown,Unknown,Sedan,Gray,
335,track_00335_f003486_r1.jpg,Hyundai,Tucson,SUV,Silver,
529,track_00529_f005342_r1.jpg,Ford,Escape,SUV,White,
675,track_00675_f006336_r1.jpg,Ford,F-150,Truck,White,
398,track_00398_f004593_r1.jpg,Toyota,Camry,Sedan,White,
2,track_00002_f000047_r1.jpg,Unknown,Unknown,SUV,Black,
673,track_00673_f006325_r1.jpg,Unknown,Unknown,Sedan,Black,
311,track_00311_f003162_r1.jpg,Unknown,Unknown,Sedan,White,
231,track_00231_f002089_r1.jpg,Unknown,Unknown,Sedan,Black,
619,track_00619_f005638_r1.jpg,Unknown,Unknown,Sedan,Silver,
172,track_00172_f001655_r1.jpg,Unknown,Unknown,Sedan,Black,
176,track_00176_f001670_r1.jpg,Nissan, Rogue,SUV,Silver,
727,track_00727_f007061_r1.jpg,Unknown,Unknown,Sedan,Black,
308,track_00308_f003101_r1.jpg,Unknown,Unknown,Sedan,Gray,
800,track_00800_f007603_r1.jpg,Unknown,Unknown,SUV,Black,
700,track_00700_f006512_r1.jpg,Unknown,Unknown,Sedan,Black,
128,track_00128_f001520_r1.jpg,Unknown,Unknown,Sedan,Black,
639,track_00639_f006028_r1.jpg,Unknown,Unknown,Sedan,Gray,
287,track_00287_f002829_r1.jpg,Rivian,R1T,Truck,Gray,
254,track_00254_f002593_r1.jpg,Ford,F-150,Truck,White,
203,track_00203_f001833_r1.jpg,Unknown,Unknown,Sedan,Purple,
417,track_00417_f004651_r1.jpg,Unknown,Unknown,Truck,White,
501,track_00501_f005105_r1.jpg,Unknown,Unknown,Sedan,Black,
536,track_00536_f005345_r1.jpg,Ford,F-150,Truck,White,
196,track_00196_f001809_r1.jpg,Unknown,Unknown,Truck,Black,
358,track_00358_f003962_r1.jpg,Honda,Accord,Sedan,Black,
158,track_00158_f001628_r1.jpg,Toyota,Tundra,Truck,Gray,
